GEOGRAPHIC_REGION,REGION_COLOR,PROVINCE,DISTRICT,ZONE,YEAR,ECON_SCORE,ENVR_SCORE,FOREST_SCORE,AIR_SCORE,TEMP_SCORE
Mekong River Delta,#00AAAE,An Giang,Thoai Son,rural,2018,58.6890243902439,21.46341463414634,1.829268292682927,46.40243902439025,16.158536585365855
Mekong River Delta,#00AAAE,An Giang,Thoai Son,rural,2019,31.32621951219512,69.8729674796748,87.5,66.25,55.8689024390244
Mekong River Delta,#00AAAE,An Giang,Thoai Son,rural,2020,49.84756097560976,54.2428861788618,50.838414634146346,62.5,49.39024390243903
Mekong River Delta,#00AAAE,An Giang,Thoai Son,rural,2021,33.15548780487805,58.57723577235773,52.21036585365854,65.3658536585366,58.15548780487805
Mekong River Delta,#00AAAE,An Giang,Thoai Son,total,2018,58.03183791606367,21.210805595754945,2.7496382054992763,44.31259044862519,16.570188133140377
Mekong River Delta,#00AAAE,An Giang,Thoai Son,total,2019,43.05354558610709,69.81669078630004,90.73806078147612,65.67293777134589,53.03907380607814
Mekong River Delta,#00AAAE,An Giang,Thoai Son,total,2020,45.65846599131693,53.29474191992282,49.78292329956584,62.05499276410998,48.04630969609262
Mekong River Delta,#00AAAE,An Giang,Thoai Son,total,2021,28.292329956584663,57.20212252773758,49.131693198263385,65.23878437047757,57.23589001447178
Mekong River Delta,#00AAAE,An Giang,Thoai Son,urban,2018,53.88059701492537,25.81094527363184,15.82089552238806,43.40298507462687,18.208955223880597
Mekong River Delta,#00AAAE,An Giang,Thoai Son,urban,2019,40.8955223880597,67.53731343283582,85.07462686567165,66.86567164179104,50.67164179104478
Mekong River Delta,#00AAAE,An Giang,Thoai Son,urban,2020,39.4776119402985,68.41791044776119,93.88059701492536,63.46268656716418,47.91044776119403
Mekong River Delta,#00AAAE,An Giang,Thoai Son,urban,2021,22.761194029850746,72.34328358208955,93.2089552238806,66.80597014925374,57.01492537313433
Mekong River Delta,#00AAAE,An Giang,Tri Ton,rural,2018,54.4969512195122,47.012195121951216,83.38414634146342,42.86585365853659,14.786585365853655
Mekong River Delta,#00AAAE,An Giang,Tri Ton,rural,2019,26.67682926829268,77.34756097560975,89.17682926829268,66.1890243902439,76.67682926829268
Mekong River Delta,#00AAAE,An Giang,Tri Ton,rural,2020,53.50609756097561,47.42886178861789,50.838414634146346,58.29268292682928,33.15548780487805
Mekong River Delta,#00AAAE,An Giang,Tri Ton,rural,2021,47.484756097560975,60.9959349593496,52.21036585365854,67.59146341463415,63.1859756097561
